SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,PAGRINDINE_ZONA_PAV,PAGRINDINE_ZONOS_KODAS,PAGRINDINE_U_INTENS,PAGRINDINE_MAX_AUK_SK,PAGRINDINE_PAGR_PASK,PAGRINDINE_BP_OBJ_NR,PAGRINDINE_ZONOS_PROC,ANTRA_ZONA_PAV,ANTRA_ZONOS_KODAS,ANTRA_ZONOS_PROC,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc
552800040764,440014792755,0.159,KlaipÓdos r. sav. GrabiÖ k.,995,1589.98,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040784,440014823751,0.2,KlaipÓdos r. sav. GrabiÖ k. NaktiUiedUiÖ g. 3,995,1999.93,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040789,440014883320,0.2,KlaipÓdos r. sav. GrabiÖ k. NaktiUiedUiÖ g. 6,995,2000.21,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040835,440015218785,0.2076,KlaipÓdos r. sav. DarguUiÖ k. VokieNiÖ g. 13,995,2075.61,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040841,440015219517,0.2235,KlaipÓdos r. sav. DarguUiÖ k. LietuvininkÖ g. 15,995,2235.15,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800041161,440044269129,0.5229,KlaipÓdos r. sav. DarguUiÖ k. PeskojÖ g. 1A,995,5228.84,Pramonės ir sandėliavimo zona,U_PS_F,"2,5",0,KT,367,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800041216,440048862586,0.1045,KlaipÓdos r. sav. DarguUiÖ k.,995,1044.53,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800060059,552800060059,1.3459,KlaipÓdos r. sav. GirkaliÖ k.,610,13459.19,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,116,52.53,Pramonės ir sandėliavimo zona,U_PS_F,47.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800060170,440041950809,0.0934,KlaipÓdos r. sav. GirkaliÖ k. Pasagos g. 5,995,934.21,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800060194,440050362348,0.1204,KlaipÓdos r. sav. GirkaliÖ k.,610,1203.67,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,142,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
