SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,SKLYPO_PLOTAS_M2,PAGRINDINE_ZONOS_KODAS,PAGRINDINE_ZONOS_PROC,ANTRA_ZONOS_KODAS,ANTRA_ZONOS_PROC,ar_gyvenamoji_zona,ar_zemes_ukio_zona,ar_misku_zona,ar_vandenu_zona,ar_pramones_zona,ar_specializuota_zona,ar_zeldynu_zona,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc,misko_proc,kvr_poligonu_proc,kvr_apsaugos_zonu_proc,pelkiu_proc,saltinynu_proc,pievu_ganyklu_proc,drenazo_plotu_proc,rinktuvu_apsaugos_zonu_proc,gelezinkelio_ribojimo_zonos_proc,reiksmingu_ribojimu_kiekis,ar_yra_stiprus_ribojimas,vystymo_target
550500050244,440014818096,2.6119,26119.22,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.38,0.0,2,0,vystymas_galimas_su_salygomis
550500050267,440020391576,1.8,17829.33,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_galimas_su_salygomis
550500050285,440048869912,1.8445,18444.5,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550500060114,550500060114,0.0745,767.72,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550800010042,550800010042,14.0,137605.31,ZU_F,73.37,MI_F,19.83,0,1,0,0,0,0,0,3.84,0.0,0.0,0.0,7.48,0.0,0.0,0.0,19.31,0.0,0.0,0.0,0.0,0.0,78.3,3.74,0.0,5,1,vystymas_labai_apribotas
550800010133,440006660406,3.39,32955.42,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.29,0.0,2,0,vystymas_galimas_su_salygomis
550800010204,440016326599,0.09,886.84,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.31,42.94,0.0,2,0,vystymas_galimas_su_salygomis
550800010280,440041854379,0.792,7919.9,MI_F,92.11,ZU_F,7.89,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,0.0,0.0,0.0,0.0,0.0,46.74,0.0,0.0,2,0,vystymas_labai_apribotas
550800020152,440011698638,0.49,4986.17,MI_F,72.18,ZU_F,26.87,0,0,1,0,0,0,0,99.53,0.0,0.0,0.0,99.09,0.0,0.0,0.0,72.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,vystymas_labai_apribotas
550800030225,440010774935,0.39,3695.45,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550800030250,440015208434,1.9,19072.86,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.76,0.0,0.0,2,0,vystymas_galimas_su_salygomis
550800030265,440017959625,0.68,7191.81,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550800030283,440021906578,0.95,9609.7,ZU_F,99.33,MI_F,0.67,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,98.41,0.0,0.0,2,0,vystymas_galimas_su_salygomis
551000010080,440006870876,3.9229,39228.62,ZU_F,52.82,MI_F,47.18,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.71,0.0,0.0,0.0,0.0,0.0,99.43,0.0,0.0,2,0,vystymas_galimas_su_salygomis
551000010120,440009053189,1.95,20083.39,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.06,0.0,2,0,vystymas_galimas_su_salygomis
551000010157,440010204950,1.64,17201.97,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.03,0.0,2,0,vystymas_galimas_su_salygomis
551000010200,440020211805,0.3859,3859.19,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
551000020085,440001406880,0.15,1695.32,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
551000020178,440007693390,7.3234,73234.17,ZU_F,94.82,MI_F,5.18,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
551000020179,440007702790,0.48,4801.01,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
551000020198,440008208057,1.3991,13990.78,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.26,0.0,2,0,vystymas_galimas_su_salygomis
551000020211,440008688164,2.005,20049.89,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.76,0.0,2,0,vystymas_galimas_su_salygomis
551000020340,440011753372,0.141,1409.71,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.9,0.0,2,0,vystymas_galimas_su_salygomis
551000020357,440011754580,0.1714,1713.76,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.75,0.0,2,0,vystymas_galimas_su_salygomis
551000020376,440011755012,0.1123,1122.66,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
551000020444,440016329714,0.1,1000.0,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
551000020692,440050842265,0.5023,5023.14,U_GG_E_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36.48,0.0,2,0,vystymas_galimas_su_salygomis
551000030132,440028756774,0.3046,3045.89,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
