SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,zonu_kiekis,pagrindine_zona_pavadinimas,pagrindine_zona_kodas,pagrindine_zona_proc,pagrindine_u_intens,pagrindine_max_auk_sk,pagrindine_pagr_pask,antra_zona_pavadinimas,antra_zona_kodas,antra_zona_proc,ar_yra_gyvenamoji_zona,ar_yra_zemes_ukio_zona,ar_yra_misku_zona,ar_yra_pramones_zona,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc,misko_proc,ar_yra_miskas_proc,kvr_poligonu_proc,kvr_apsaugos_zonu_proc,ar_yra_kvr_poligonas,ar_yra_kvr_apsaugos_zona,pelkiu_proc,saltinynu_proc,pievu_ganyklu_proc,ar_yra_pelke,ar_yra_saltinynas,ar_yra_pievos_ganyklos,drenazo_plotu_proc,rinktuvu_apsaugos_zonu_proc,ar_yra_drenazo_plotai,ar_yra_rinktuvu_apsaugos_zona
555800040570,440012055017,0.101,KlaipÓdos r. sav. TruÕeliÖ k. Karpavos g. 2,995,1009.67,1,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,100.0,"0,2*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
555800070346,440004787095,0.15,KlaipÓdos r. sav. KlipÕNiÖ k. ¾ileliÖ g. 6,995,1498.6,1,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,100.0,"0,8*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
555800070382,440005515497,1.2596,KlaipÓdos r. sav. SlengiÖ k.,995,25306.69,2,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,78.69,"0,8*",0,KT,Pramonės ir sandėliavimo zona,U_PS_F,21.31,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,14.93,1,1
555800070444,440006816464,0.53,KlaipÓdos r. sav. SlengiÖ k.,610,5299.48,2,Pramonės ir sandėliavimo zona,U_PS_F,70.33,"2,5",0,KT,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,29.67,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.07,1,1
555800070455,440006897976,0.2324,KlaipÓdos r. sav. KlipÕNiÖ k. LazdynÖ g. 2A,995,2324.82,2,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,53.35,"0,8*",0,KT,Pramonės ir sandėliavimo zona,U_PS_F,46.65,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
555800140004,555800140004,0.3116,KlaipÓdos r. sav. KalotÓs k. Medelyno g. 116,995,3116.12,1,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,100.0,"0,8*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,77.65,0.0,1,0
555800140337,440007239138,0.2463,KlaipÓdos r. sav. KalotÓs k.,995,2463.78,1,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,100.0,"0,8*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
555870010010,440022717642,3.5333,,995,35332.74,2,Pramonės ir sandėliavimo zona,U_PS_F,100.0,"2,5",0,KT,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,0.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,78.31,0.7,1,1
556300060309,440006293068,0.29,KlaipÓdos r. sav. MeiskiÖ k.,610,3129.2,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,1;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,12.34,1,1
556500040121,440003728910,0.77,KlaipÓdos r. sav. PleÕkuNiÖ k.,610,8226.74,1,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,100.0,"0,2*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
556800050054,556800050054,5.05,KlaipÓdos r. sav. JokuliÖ k.,610,54505.07,1,Pramonės ir sandėliavimo zona,U_PS_F,100.0,"2,5",0,KT,,,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
