db_sklypo_id,atviru_unikalus_nr,atviru_kadastro_nr,persidengimo_proc_nuo_seno,persidengimo_proc_nuo_naujo
551800070223,440001380629,5518/0007:0223,100.0000000008238,99.999999999225
551300210688,551300210688,5513/0021:0688,100.00000000082257,100.00000000010417
555200120130,555200120130,5552/0012:0130,100.00000000081876,99.99999999939467
554400120139,554400120139,5544/0012:0139,100.00000000081862,99.94383582764296
555200120636,555200120636,5552/0012:0636,100.00000000081648,99.99999999866696
550300080137,440001148009,5503/0008:0137,100.00000000081552,99.99999999809884
552000160059,552000160059,5520/0016:0059,100.00000000081523,100.00000000013536
555800130268,555800130268,5558/0013:0268,100.00000000081472,99.99999999597794
552800090163,440010647153,5528/0009:0163,100.00000000081444,99.9999999965987
550500040200,550500040200,5505/0004:0200,100.0000000008142,99.99999999701768
552000180066,552000180066,5520/0018:0066,100.0000000008132,99.99999999843766
553000051070,440021979822,5530/0005:1070,100.0000000008128,99.99824239748104
551300230347,551300230347,5513/0023:0347,100.00000000081198,99.99999999997348
551300210035,551300210035,5513/0021:0035,100.00000000081069,100.0000000001984
553800030416,440001236746,5538/0003:0416,100.0000000008092,99.99999999937305
552800040760,440014783256,5528/0004:0760,100.0000000008074,99.99999999917192
553500040991,440044813047,5535/0004:0991,100.00000000080652,99.99999999924243
555200130476,555200130476,5552/0013:0476,100.00000000080335,99.99999999793184
555800051190,440015662898,5558/0005:1190,100.00000000080168,99.99785158406634
553300050491,440012873177,5533/0005:0491,100.00000000080144,99.9999999990384
552800070564,440011233559,5528/0007:0564,100.00000000080142,99.99999999881769
555000020016,440028168038,5550/0002:0016,100.00000000079903,99.99999999512136
552000010801,440041401969,5520/0001:0801,100.00000000079484,99.9999999965752
552300080019,552300080019,5523/0008:0019,100.00000000079216,99.70937277681446
552300040687,440024602353,5523/0004:0687,100.00000000079044,99.9999999954038
554400260077,554400260077,5544/0026:0077,100.00000000079008,99.99999999875875
556800130120,440007781119,5568/0013:0120,100.00000000078931,99.99986907014843
556300050229,440008606466,5563/0005:0229,100.0000000007893,99.99999999900128
550100040154,550100040154,5501/0004:0154,100.00000000078768,99.99999999884322
556500010368,440050659308,5565/0001:0368,100.00000000078748,99.99999999314002
551800040166,551800040166,5518/0004:0166,100.00000000078512,100.00000000074851
556300060219,440002920772,5563/0006:0219,100.00000000078468,100.00000000078543
550300080004,550300080004,5503/0008:0004,100.00000000078428,99.99999999714989
554400050608,440027317866,5544/0005:0608,100.00000000078208,100.00000000031416
555800140554,440020545413,5558/0014:0554,100.00000000078188,99.99999999863512
551500040348,440046510672,5515/0004:0348,100.0000000007797,99.9999999958646
553800010402,553800010402,5538/0001:0402,100.00000000077635,95.55019482346248
551300110036,551300110036,5513/0011:0036,100.00000000077496,100.00000000127312
556800060117,556800060117,5568/0006:0117,100.00000000077458,99.99999999655132
552800060524,440022314414,5528/0006:0524,100.00000000077314,99.99999999892756
555200020146,440005270204,5552/0002:0146,100.00000000077247,99.99999999822371
555800051000,440012071597,5558/0005:1000,100.00000000077108,99.99999999674452
554400110040,554400110040,5544/0011:0040,100.00000000077024,100.00000000011671
555200010489,440043060813,5552/0001:0489,100.0000000007699,99.99999999813087
555000010302,440015484694,5550/0001:0302,100.00000000076967,99.99999999627002
552300050136,552300050136,5523/0005:0136,100.0000000007685,99.999999990523
552800060532,440024258591,5528/0006:0532,100.00000000076672,99.9999999989741
553800030131,553800030131,5538/0003:0131,100.0000000007635,99.99999999671536
553800030390,440002628997,5538/0003:0390,100.0000000007625,99.98583380755277
554400140142,554400140142,5544/0014:0142,100.0000000007622,99.99999999551036
551300110093,551300110093,5513/0011:0093,100.00000000076162,99.9999999957674
552800070180,552800070180,5528/0007:0180,100.00000000076,99.99999999964008
552300080256,552300080256,5523/0008:0256,100.00000000075924,99.99999999810537
553000050819,440014957890,5530/0005:0819,100.0000000007574,99.99999999859752
555200050230,440006252711,5552/0005:0230,100.0000000007568,99.99999999854178
556300040174,440005072473,5563/0004:0174,100.00000000075508,99.9999999955186
553300050130,553300050130,5533/0005:0130,100.00000000075306,96.09445408165928
555200100495,440016050930,5552/0010:0495,100.00000000075164,100.00000000035416
550500060115,550500060115,5505/0006:0115,100.00000000075006,99.99999999895002
554400050324,554400050324,5544/0005:0324,100.00000000074968,99.99999999852172
551500010129,440002543553,5515/0001:0129,100.00000000074934,99.9999999973373
551500020098,440044263345,5515/0002:0098,100.00000000074908,99.99999998746736
551300170071,551300170071,5513/0017:0071,100.00000000074884,99.99999999946051
555200090728,440015985103,5552/0009:0728,100.00000000074816,99.99999999790974
551300030246,551300030246,5513/0003:0246,100.00000000074796,99.99999999654256
555200130251,555200130251,5552/0013:0251,100.00000000074772,97.03537612571644
554300050543,440048504929,5543/0005:0543,100.00000000074382,99.9999999990652
551300060108,551300060108,5513/0006:0108,100.00000000074009,99.99999999666062
554400200520,440050917347,5544/0020:0520,100.00000000073884,99.99999999669625
