SKLYPO_ID,drenazo_plotu_proc
550100010288,34.59
550100010289,0.72
550100010290,37.93
550100010291,82.79
550100010292,66.44
550100010293,100.0
550100010294,100.0
550100010295,80.62
550100010296,100.0
550100010297,100.0
550100010298,100.0
550100010299,100.0
550100010300,100.0
550100010301,100.0
550100010302,100.0
550100010303,100.0
550100010304,100.0
550100010305,100.0
550100010306,0.0
550100010307,100.0
550100010308,100.0
550100010309,78.35
550100010310,92.72
550100010311,100.0
550100010312,9.22
550100010313,100.0
550100010314,0.0
550100010315,100.0
550100010316,99.89
550100010317,100.0
550100010318,94.39
550100010319,39.89
550100010320,100.0
550100010321,100.0
550100010322,100.0
550100010323,100.0
550100010324,100.0
550100010325,2.05
550100010326,100.0
550100010327,100.0
550100010328,100.0
550100010329,37.95
550100010330,0.0
550100010331,100.0
550100010336,99.43
550100010338,94.54
550100010339,99.72
550100010340,100.0
550100010342,100.0
550100010343,100.0
550100010344,100.0
550100010348,100.0
550100010349,100.0
550100010350,100.0
550100010351,100.0
550100010366,100.0
550100010367,100.0
550100010369,100.0
550100010370,100.0
550100010371,100.0
550100010372,100.0
550100010376,100.0
550100010378,100.0
550100010379,100.0
550100010383,100.0
550100010393,100.0
550100010394,100.0
550100010395,100.0
550100010396,100.0
550100010400,0.0
550100010401,75.56
550100010403,92.33
550100010404,82.94
550100010405,3.9
550100010406,0.02
550100010407,98.78
550100010408,48.25
550100010409,0.0
550100010410,63.53
550100010411,49.31
550100010413,0.01
550100010414,0.07
550100010415,100.0
550100010417,0.02
550100010418,99.83
550100010419,87.27
550100010420,0.44
550100010421,100.0
550100010422,100.0
550100010423,100.0
550100010424,75.31
550100010425,100.0
550100010426,97.82
550100010428,60.76
550100010429,98.71
550100010430,100.0
550100010431,1.43
550100010432,100.0
550100010433,63.75
550100010434,100.0
550100010435,1.03
550100010436,98.32
550100010437,0.12
550100010438,99.39
550100010439,15.77
550100010440,99.21
550100010441,100.0
550100010442,100.0
550100010443,15.33
550100010446,100.0
550100010447,8.8
550100010448,100.0
550100010452,100.0
550100010466,100.0
550100010473,92.93
550100010474,0.0
550100010475,0.0
550100010477,94.34
550100010478,99.93
550100010479,15.9
550100010480,2.7
550100010481,0.0
550100010482,99.45
550100010483,0.03
550100010484,0.0
550100010485,21.52
550100010486,80.36
550100010487,0.0
550100010488,98.88
550100010489,0.0
550100010490,0.0
550100010491,100.0
550100010492,100.0
550100010493,0.63
550100010494,63.57
550100010495,0.38
550100010496,1.74
550100010497,0.02
550100010498,0.85
550100010499,1.09
550100010500,0.51
550100010501,0.41
550100010502,0.0
550100010503,0.1
550100010504,1.76
550100010505,0.0
550100010506,0.55
550100010507,100.0
550100010508,0.0
550100010509,100.0
550100010510,100.0
550100010511,96.59
550100010512,97.07
550100010513,100.0
550100010514,0.0
550100010515,0.0
550100010516,0.0
550100010517,0.0
550100010518,0.07
550100010519,100.0
550100010520,100.0
550100010521,100.0
550100010522,100.0
550100010523,100.0
550100010524,100.0
550100010525,88.57
550100010526,81.3
550100010527,100.0
550100010528,99.99
550100010529,100.0
